org_name,prop_name,address,zip_code,energy_star_score,prop_type,floor_area,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalied_source_EUI,public_private
Minneapolis Park and Recreation Board,MPRB Headquarters,2117 W River Rd,55411,Not Available,Office,75327,2001,738.7,65.6,62.2,155.7,152.1,public
Minneapolis Park and Recreation Board,North Commons Park,1801 James Ave N,55411,Not Available,Other - Entertainment / Public Assembly,13810,1972,181.1,116.8,111,217.4,211.4,public
Minneapolis Park and Recreation Board,Northeast Ice Arena,1306 Central Ave N,55411,Not Available,Ice/Curling Rink,32772,1996,369.1,98.1,94.8,186.1,182.7,public
Minneapolis Park and Recreation Board,Painter Park,620 34th St W,55408,Not Available,Other - Entertainment / Public Assembly,5787,1976,64.8,125.8,117,194,184.8,public
Minneapolis Park and Recreation Board,Parade Park Ice North,610 Kenwood Parkway,55403,Not Available,Ice/Curling Rink,40195,1988,1172.1,232.1,222.9,474.7,465.1,public
Minneapolis Park and Recreation Board,Parade Park Ice South,600 Kenwood Pkwy,55403,Not Available,Ice/Curling Rink,34351,1988,519.3,202.1,190.8,272.4,260.5,public
Minneapolis Park and Recreation Board,Pearl Park,414 Diamond Lake Rd E,55419,Not Available,Other - Entertainment / Public Assembly,11934,1967,143.5,100.5,90.9,197.2,184.4,public
Minneapolis Park and Recreation Board,Peavey Park,730 22nd St E,55404,Not Available,Other - Entertainment / Public Assembly,1865,1992,37.9,153.2,145.7,328.5,320.6,public
Minneapolis Park and Recreation Board,Pershing Field Park,3523 48th St W,55410,Not Available,Other - Entertainment / Public Assembly,7287,1975,65.9,83.2,77.7,150.8,144.8,public
Minneapolis Park and Recreation Board,Phillips Pool and Gym Park,2323 11th Ave S,55404,Not Available,Other - Entertainment / Public Assembly,41395,1978,438.2,81.8,75.8,171.6,165.2,public
Minneapolis Park and Recreation Board,Powderhorn Park,3400 15th Ave S,55407,Not Available,Other - Entertainment / Public Assembly,20363,1972,275.9,112.1,102,222,211.4,public
Minneapolis Park and Recreation Board,Rev. Dr.Martin Luther King Park,4055 Nicollet Ave S,55409,Not Available,Other - Entertainment / Public Assembly,20261,1969,206.1,110.8,101.6,175.2,165,public
Minneapolis Park and Recreation Board,Sibley Park,1900 40th St E,55407,Not Available,Other - Entertainment / Public Assembly,7732,1973,108.8,156.7,137.2,243.4,217.9,public
Minneapolis Park and Recreation Board,Southside Operations Center,3800 Bryant Ave S,55409,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",58683,1986,712.4,117.5,108.2,204.4,192.2,public
Minneapolis Park and Recreation Board,Stewart Park,2700 12th Ave S,55407,Not Available,Other - Entertainment / Public Assembly,6081,1976,75.8,123.4,109.8,210.8,196.6,public
Minneapolis Park and Recreation Board,VanCleve Park,901 15th Ave SE,55414,Not Available,Other - Entertainment / Public Assembly,13266,1970,182.9,142.3,130.1,234.9,218,public
Minneapolis Park and Recreation Board,Waite Park,1810 34th Ave NE,55418,Not Available,Other - Entertainment / Public Assembly,6212,1979,46.7,59,55.3,122.1,118.2,public
Minneapolis Park and Recreation Board,Webber Park,4400 Dupont Ave N,55412,Not Available,Other - Entertainment / Public Assembly,7016,1977,77.8,98.4,91.3,183.8,172.6,public
Minneapolis Park and Recreation Board,Whittier Park,2600 Grand Ave S,55408,Not Available,Fitness Center/Health Club/Gym,7549,1974,133.9,156.8,143,293.9,279.3,public
Minneapolis Park and Recreation Board,Windom NE Park,2251 Hayes St NE,55418,Not Available,Other - Entertainment / Public Assembly,3880,1991,63.7,174.7,158.2,281.3,264,public
Minneapolis Public Schools,Andersen Elementary,2727 10th Ave S,55407,34,K-12 School,233557,1976,597.1,85.6,80.7,168.1,163,public
Minneapolis Public Schools,Anthony Middle School,5757 Irving Ave S,55419,65,K-12 School,139806,1957,1014.5,90.7,83,128.7,120.7,public
Minneapolis Public Schools,Anwatin Middle School,256 Upton Ave S,55405,86,K-12 School,173507,1960,819.4,51.3,47.6,81.3,76.7,public
Minneapolis Public Schools,Armatage Elementary,2501 West 56th Street,55410,75,K-12 School,91500,1952,630.9,84.7,77.4,121.8,113.9,public
Minneapolis Public Schools,Bancroft Elementary,1315 East 38th Street,55407,53,K-12 School,79267,1925,631.9,102.9,92.8,142.4,131.5,public
Minneapolis Public Schools,Barton Elementary,4237 Colfax Ave S,55409,68,K-12 School,83752,1925,667.3,81.4,75.7,135.5,129.5,public
Minneapolis Public Schools,Bethune,919 Emerson Ave,55411,80,K-12 School,75430,1968,534.9,73.2,68.3,120.8,115.7,public
Minneapolis Public Schools,Bryn Mawr Elementary,252 Upton Avenue South,55405,34,K-12 School,102658,1962,1096.1,109.5,103,181.7,174.9,public
Minneapolis Public Schools,Burroughs Elementary,1601 West 50th Street,55419,76,K-12 School,162320,2002,1112.9,68.3,63.8,116,111.3,public
Minneapolis Public Schools,City View Elementary,3350 4th Street North,55412,77,K-12 School,132372,1999,859.3,57.4,54.1,107.5,104.1,public
Minneapolis Public Schools,Davis Center (District Headquarters),1250 West Braodway,55411,98,Office,237742,2013,1694.1,34.7,34.7,108.9,108.9,public
Minneapolis Public Schools,Dowling Elementary,3900 West River Parkway,55406,63,K-12 School,90776,2007,928.1,120.1,108.2,178.9,165.5,public
Minneapolis Public Schools,Edison Senior High,700 22nd Ave NE,55418,69,K-12 School,279550,1925,1974.5,80.2,74.9,122.7,117.1,public
Minneapolis Public Schools,Emerson Elementary,1421 Spruce Place,55403,60,K-12 School,61733,1925,586.4,115.6,106.3,167.5,157.6,public
Minneapolis Public Schools,Field Elementary,4645 4th Ave South,55409,63,K-12 School,81171,1925,687.1,96.8,89.1,147.2,138.7,public
Minneapolis Public Schools,Folwell Elementary,3611 20th Ave S.,55411,94,K-12 School,140629,1945,713.3,24.7,24.7,77.5,77.5,public
Minneapolis Public Schools,Green Central Park Elementary,3416 4th Ave S,55408,98,K-12 School,120735,1993,485.1,53.1,50.3,72.2,69.3,public
Minneapolis Public Schools,Hale Elementary,1220 East 54th Street,55417,53,K-12 School,81807,1930,353.9,104.4,94.5,157.7,147.3,public
Minneapolis Public Schools,Hall Elementary,1601 Aldrich Ave N,55411,57,K-12 School,81030,1960,734.6,101,94.9,156.9,150.4,public
Minneapolis Public Schools,Harrison -other,501 Irving Ave N,55405,88,Other,54793,1998,438,70.9,66.6,132.5,128,public
Minneapolis Public Schools,Henry Senior High,4320 Newton Ave N,55412,73,K-12 School,240121,1926,1707.8,83,75.7,124.3,116.1,public
Minneapolis Public Schools,Hiawatha Elementary,4201 42nd Ave S,55406,20,K-12 School,40888,1925,566.7,225.7,199.3,262.7,234.5,public
Minneapolis Public Schools,Howe Elementary,3733 43rd Ave S. ,55411,97,K-12 School,36161,1941,227.9,30.7,29.9,96.3,94,public
Minneapolis Public Schools,Jefferson Elementary,1200 West 26th Street,55405,74,K-12 School,156450,1925,1008.7,82.6,77.1,115,109,public
Minneapolis Public Schools,Jenny Lind,5025 Bryant Avenue North,55413,53,K-12 School,96693,1995,811.6,76.6,73.3,139.8,136.3,public
Minneapolis Public Schools,Jordan Park,1501 30th Ave N,55430,8,K-12 School,123293,1999,1830.5,135.7,130.9,247.4,242.3,public
Minneapolis Public Schools,Keewaydin Elementary,5209 30th Ave S,55417,45,K-12 School,87000,1934,854.6,94,87.2,165,157.8,public
Minneapolis Public Schools,Kenny Elementary,5720 Emerson Ave S,55419,60,K-12 School,61776,1954,543.7,112.1,102.9,156.8,147.1,public
Minneapolis Public Schools,Kenwood Elementary,2013 Penn Ave S,55405,87,K-12 School,67300,1925,432.5,69.3,65.1,110.5,106.1,public
Minneapolis Public Schools,Lake Harriet Lower Campus (Audubon),4030 Chowen Ave S,55410,17,K-12 School,37540,1925,589.6,182.8,168.5,274.3,259.3,public
Minneapolis Public Schools,Lake Harriet Upper Campus (Fulton),4912 Vincent Ave S,55410,66,K-12 School,77238,1925,713.6,107.6,98.8,161.3,152.1,public
Minneapolis Public Schools,Lincoln Elementary,2131 12th Ave N,55411,93,K-12 School,155831,1952,589.1,18.4,18.4,57.8,57.8,public
Minneapolis Public Schools,Longfellow Elementary,3017 E 31st Street,55406,18,K-12 School,42733,1925,534.8,175,160.5,227.9,212.7,public
Minneapolis Public Schools,Loring Elementary,2600 44th Ave N,55412,73,K-12 School,60096,1928,494.4,103.5,95.1,146.1,137.4,public
Minneapolis Public Schools,Lucy Laney Elementary,3333 Penn Ave N,55412,53,K-12 School,111726,2000,1104.7,88.7,84.6,164.2,159.9,public
Minneapolis Public Schools,Lyndale Elementary,3333 Grand Ave S,55408,92,K-12 School,97506,1966,551.5,47.3,44.4,92.8,89.7,public
Minneapolis Public Schools,Marcy Elementary,415 4th Ave SE,55414,76,K-12 School,78957,1992,671.8,78,73,141.8,136.7,public
Minneapolis Public Schools,Nellie Stone Johnson Elementary,807 27th Ave N,55411,44,K-12 School,125150,2001,1200.6,85.2,80.6,159,154.2,public
Minneapolis Public Schools,North Senior High,1500 James Ave N,55411,9,K-12 School,290000,1972,3733.2,128.6,122.6,218,210.2,public
Minneapolis Public Schools,Northeast Middle,2955 Hayes Street NE,55418,28,K-12 School,176336,1956,1920.8,128.9,124,190.9,185.7,public
Minneapolis Public Schools,Northrop at Ericsson,4315 31st Ave S,55406,69,K-12 School,57874,2007,470.4,96.3,87.3,142.5,133.1,public
Minneapolis Public Schools,Nutrition Center,812 Plymouth Ave.,55411,98,Refrigerated Warehouse,73143,1974,208.4,13.9,13.9,43.6,43.6,public
Minneapolis Public Schools,Olson Middle School,1607 51st Ave N,55430,69,K-12 School,134959,1962,1082.5,94.9,88,140.6,133.3,public
Minneapolis Public Schools,Pillsbury Elementary,2250 Garfield Street NE,55418,68,K-12 School,87705,1991,764.5,77.6,73.8,144.6,140.5,public
Minneapolis Public Schools,Pratt Community Center,66 Malcom Street SE,55414,94,K-12 School,42437,1925,209.9,51.3,46.6,84.4,79.4,public
Minneapolis Public Schools,Ramsey Elem / Washburn Senior,201 West 49th Street,55409,38,K-12 School,403234,1925,4327.8,114.9,109.4,184.2,178.5,public
Minneapolis Public Schools,Roosevelt Senior High,4029 28th Ave S,55406,69,K-12 School,324718,1925,2475.6,95.9,88.1,135.4,127.2,public
Minneapolis Public Schools,Sanford Middle School,3524 42nd Ave S,55406,52,K-12 School,132893,1926,1140.2,118.3,107.7,155.7,144.2,public
Minneapolis Public Schools,Seward Elementary,2309 28th Ave S,55406,80,K-12 School,79692,1965,665.7,69.5,64.9,137,132.2,public
Minneapolis Public Schools,Sheridan Elementary,1201 University Ave NE,55413,35,K-12 School,148005,1932,1261.4,113.1,103.9,153.3,143.6,public
Minneapolis Public Schools,South Senior High,3131 19th Ave S,55407,51,K-12 School,283094,1968,2736.6,89.7,85.6,161.5,157.1,public
Minneapolis Public Schools,Southwest Senior High,3414 West 47th street,55410,71,K-12 School,300845,1939,2480.8,97.9,90.5,144.6,136.9,public
Minneapolis Public Schools,Sullivan Elementary,3100 E 28th Street,55406,53,K-12 School,214421,1991,1790.6,85.6,80.2,142.1,136.4,public
Minneapolis Public Schools,W. Harry Davis Academy Elementary,1510 Glenwood Ave,55405,68,K-12 School,94282,1995,704.7,74.6,70.1,126.5,121.8,public
Minneapolis Public Schools,Waite Park Elementary,1800 34th Ave S,55418,46,K-12 School,60083,1950,641.5,116.6,109.6,184,176.6,public
Minneapolis Public Schools,Wenonah Elementary,5625 23rd Ave S,55417,67,K-12 School,44827,1952,392.6,104.3,95.4,153.7,144.4,public
Minneapolis Public Schools,Whittier Elementary,315 West 26th Street,55404,82,K-12 School,142460,1997,940.4,57.1,54.4,108.9,106.1,public
Minneapolis Public Schools,Wilder / Transition Plus,3345 Chicago Ave,55407,60,K-12 School,205536,1975,1578,82.6,79.2,131.9,128.3,public
Minneapolis Public Schools,Windom Elementary,5821 Wentworth Ave S,55419,61,K-12 School,73618,1925,644.5,93.6,85.5,150.2,141.6,public
